name,mac address,encryption,lat,lon
Hazan Wi-Fi,00:13:10:B1:9D:7A,WPA+AES-CCM WPA+PSK,-169.248025,-169.018211
Tabagie-Cote-Vertu,00:13:A3:6B:3D:24,WPA+PSK WPA+TKIP,-169.248025,-154.105130
JoBean,00:14:A5:0D:50:2A,WPA+PSK WPA+TKIP,-169.148126,-73.532791
nanatiti,00:14:BF:07:A2:53,WPA+PSK WPA+TKIP,-169.147164,-145.115076
Fleuriste Pour Vous Inc,00:14:BF:4A:A3:7D,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.192803,-159.433902
CDDL_MTL,00:14:BF:4A:AB:00,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.249666,-73.574196
SiscoWL,00:14:C2:B4:54:D0,WPA+PSK WPA+TKIP,45.610111,-73.544861
None,00:14:D1:AD:64:D8,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.143035,-73.558437
Beleriand,00:14:D1:B1:41:5C,WPA+AES-CCM WPA+PSK,-169.142875,-73.533089
default_wds,00:14:D1:D6:69:A0,None,-169.250261,-73.574944
None,00:15:70:EE:F5:BC,WPA+PSK WPA+TKIP,-175.056087,-178.049634
None,00:15:70:EE:F5:BE,WPA+AES-CCM WPA+PSK,-179.013538,-171.190369
None,00:15:70:EE:F5:BF,WPA+AES-CCM WPA+PSK WPA+TKIP,-173.634818,-178.760333
MIFI2-P7EF,00:15:FF:5D:B4:7D,WPA+AES-CCM WPA+PSK,-179.762702,-178.696769
luclef2,00:16:B6:DA:A3:55,WPA+AES-CCM WPA+PSK,45.606975,-73.537674
Structube Wifi,00:17:C5:47:97:CF,WPA+AES-CCM WPA+PSK,-169.252356,-145.159962
LBC-WIFI,00:17:C5:BA:55:55,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.302305,-159.476091
None,00:18:0A:22:5A:1E,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.249301,-73.573734
None,00:18:0A:79:F9:AA,WPA+AES-CCM WPA+PSK WPA+TKIP,-152.730589,-172.688834
3 Brasseurs WIFI,00:18:0A:D4:2F:E0,None,-169.250926,-73.575733
3 Brasseurs WIFI,00:18:0A:D4:D0:80,None,-177.840899,-176.654972
Retail Wireless,00:18:0A:E6:E4:90,WPA+AES-CCM WPA+PSK WPA+TKIP,-178.589290,-176.282943
linksys,00:18:39:B2:FA:05,WPA+PSK WPA+TKIP,45.610893,-73.546654
Dancar,00:18:39:C4:E6:A7,WPA+AES-CCM WPA+PSK,-169.143027,-154.063245
SALMA,00:18:39:DB:16:AD,WPA+AES-CCM WPA+PSK,-169.146212,-127.223281
grapeamungus,00:18:E7:8D:44:55,WPA+AES-CCM WPA+PSK WPA+TKIP,-179.079911,-179.021815
JDUBOISLP_Network,00:18:E7:C5:D3:B0,WPA+AES-CCM WPA+PSK,-157.836273,-163.964011
Majd,00:18:E7:C5:D7:7C,WPA+AES-CCM WPA+PSK,-97.669815,-73.577505
danny richard 1,00:18:E7:D0:5A:B8,WPA+AES-CCM WPA+PSK WPA+TKIP,45.601978,-73.535522
jules,00:18:E7:D1:1A:7C,WPA+PSK WPA+TKIP,-179.368043,-175.797461
KittyLudo,00:18:E7:F1:4B:48,WPA+AES-CCM WPA+PSK WPA+TKIP,45.608616,-73.541466
linksys MB,00:18:F8:D6:CD:29,WPA+PSK WPA+TKIP,-169.137323,-73.547089
TaxiLinQ_3582_00198824233A,00:19:88:24:23:3A,WPA+AES-CCM WPA+PSK,-169.248922,-73.573612
LinksysGB,00:1A:70:D1:76:34,WPA+AES-CCM WPA+PSK,45.599422,-73.533279
linksys_SES_44068,00:1A:70:E9:D4:AD,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.151906,-73.535202
MontageMGM,00:1A:DD:BD:F8:81,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.250322,-163.053413
3Coloc,00:1B:11:4F:96:BD,WPA+PSK WPA+TKIP,-97.564876,-73.532539
OSTEOFREAK,00:1B:63:2B:BF:2D,WPA+AES-CCM WPA+PSK,-169.136991,-73.547787
yobitch,00:1C:10:C0:40:0B,WPA+AES-CCM WPA+PSK WPA+TKIP,-97.555123,-73.545675
maison,00:1C:DF:AA:B9:B9,WPA+AES-CCM WPA+PSK WPA+TKIP,-156.516735,-174.591341
CASADOM,00:1C:DF:AA:DD:DB,WEP,-174.137717,-173.413803
Maya123,00:1C:F0:66:0C:96,WPA+AES-CCM WPA+PSK WPA+TKIP,45.601196,-73.532280
None,00:1C:F0:67:31:DC,WPA+AES-CCM WPA+PSK,-145.287376,-168.976614
Dare,00:1C:F0:B8:45:1B,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.249599,-73.574215
Rachel,00:1C:F0:B9:77:23,WEP,-169.145944,-73.531609
Ben&nath,00:1C:F0:C0:9D:55,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.146228,-145.118894
Unitelecom475,00:1D:5A:8E:F7:E1,WPA+AES-CCM WPA+PSK WPA+TKIP,45.610928,-73.546753
LQ004282Wa6b5C7KgBk24HeE,00:1D:73:18:27:9B,WPA+AES-CCM WPA+PSK,-169.151620,-154.064885
LQ030801Ny8p5D4QkZq9z2WY,00:1D:73:18:E1:A7,WPA+AES-CCM WPA+PSK,-178.126266,-176.514597
LQ055039Mn68Wmg9RCz74JpK,00:1D:73:3A:36:F7,WPA+AES-CCM WPA+PSK,-126.195353,-159.430465
LQ033061a7QEg3w6A9Kpn2W8,00:1D:73:3A:92:03,WPA+AES-CCM WPA+PSK,-169.248025,-169.018211
LQ028252c7H9Pok3A5Spg4NR,00:1D:73:3A:A6:E1,WPA+AES-CCM WPA+PSK,-177.614845,-179.554206
LQ073134d2W3AsFo78Kya5C4,00:1D:73:3A:A9:61,WPA+AES-CCM WPA+PSK,-179.723555,-178.329793
LQ006894j7XRo5x9AHb36Wdi,00:1D:73:3A:A9:6B,WPA+AES-CCM WPA+PSK,,
LQ034392c6X7QsRm45KbGw38,00:1D:73:3A:A9:C1,WPA+AES-CCM WPA+PSK,-179.760183,-179.697228
LQ003707i3Z2HkJd87Qqj5KR,00:1D:73:3A:A9:EB,WPA+AES-CCM WPA+PSK,-169.248025,-169.018211
LQ057984t9L2QgBq7b6GDd5m,00:1D:73:3A:D4:4B,WPA+AES-CCM WPA+PSK,-177.507578,-172.689123
LQ024143a4R6HeQg2r3YNp5s,00:1D:73:3A:D7:7B,WPA+AES-CCM WPA+PSK,,
LQ085408Jz37Rjf4BDy5c8HN,00:1D:73:3A:E2:91,WPA+AES-CCM WPA+PSK,-169.143662,-168.974346
LQ055055Hm62Qri5B7Cdf4YT,00:1D:73:3A:E3:95,WPA+AES-CCM WPA+PSK,-169.142496,-73.534473
LQ031310d4PLk9b5W6ZoJn27,00:1D:73:3A:EA:DB,WPA+AES-CCM WPA+PSK,-97.554535,-73.547099
LQ032497Pc5s7X2MaRk86DyN,00:1D:73:3A:F5:DB,WPA+AES-CCM WPA+PSK,-169.136055,-145.138185
LQ048464Sn6z5LDw9g7K8Aet,00:1D:73:3A:FC:91,WPA+AES-CCM WPA+PSK,-169.248025,-159.473839
McArthur,00:1D:7E:23:CC:0B,WEP,-169.145097,-73.531162
spouet,00:1D:7E:31:4B:70,WPA+AES-CCM WPA+PSK,45.603195,-73.531196
YANNICK-PC_Network,00:1E:2A:54:2D:4E,WPA+AES-CCM WPA+PSK,-169.144324,-73.530708
GUSS/UPA TD OFFICE,00:1E:58:06:13:17,WPA+AES-CCM WPA+PSK WPA+TKIP,45.495697,-73.577484
Craiova,00:1E:58:EB:23:85,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.143260,-73.531782
None,00:1E:E5:1F:EB:10,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.137323,-73.547096
WiFiCFAPub,00:1E:E5:1F:EB:11,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.137324,-73.547100
MarjoPascal,00:1E:E5:35:BF:8F,WEP,45.607101,-73.537964
natalia79,00:1E:E5:37:D7:16,WPA+AES-CCM WPA+PSK,-169.142980,-73.558239
None,00:1E:E5:44:0D:0E,WPA+AES-CCM WPA+PSK WPA+TKIP,-97.569093,-73.535164
RobertoNET,00:1F:1F:3F:D6:4C,WPA+PSK WPA+TKIP,45.496773,-73.577492
BravoTelecom_10080,00:1F:9F:A3:B3:53,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.144792,-73.558990
O SPA,00:1F:F3:07:25:B5,WPA+AES-CCM WPA+PSK,-169.250699,-73.575249
thesensorlab,00:1F:F3:F8:58:6B,WPA+AES-CCM WPA+PSK,45.496540,-73.576706
HoMe,00:21:29:6C:C9:9F,WPA+AES-CCM WPA+PSK,-169.147194,-145.115029
maison62,00:21:29:9B:5E:0C,WPA+PSK WPA+TKIP,-169.151183,-145.117223
linksys,00:21:29:A6:58:BE,WPA+PSK WPA+TKIP,45.606728,-73.537117
RHA,00:21:29:B8:57:71,WPA+AES-CCM WPA+PSK WPA+TKIP,45.596870,-73.534134
Banane Bleue,00:21:29:BB:CD:19,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.142726,-73.533592
linksys,00:21:29:C5:6A:79,WPA+PSK WPA+TKIP,-97.560585,-73.531418
NegativeSpace,00:21:29:D0:FD:A9,WPA+AES-CCM WPA+PSK,-169.143053,-73.558582
miki123,00:21:29:D8:FC:72,WPA+AES-CCM WPA+PSK WPA+TKIP,45.603756,-73.558769
savannahgreen,00:21:29:DA:23:EE,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.188837,-159.443590
MCB Dinning 49,00:21:29:E8:A0:70,None,-176.821313,-177.074380
MCB Dinning 48,00:21:29:E9:68:50,None,-156.519276,-174.592933
ConcordiaUniversity,00:22:55:74:EF:30,WPA+AES-CCM WPA+TKIP,,
None,00:22:55:74:EF:31,WEP,,
eduroam,00:22:55:74:EF:32,WPA+AES-CCM,,
ConcordiaGuest,00:22:55:74:EF:33,None,,
ConcordiaUniversity,00:22:55:74:F7:30,WPA+AES-CCM WPA+TKIP,,
None,00:22:55:74:F7:31,WEP,,
eduroam,00:22:55:74:F7:32,WPA+AES-CCM,,
ConcordiaGuest,00:22:55:74:F7:33,None,,
None,00:22:55:74:F7:81,WEP,,
eduroam,00:22:55:74:F7:82,WPA+AES-CCM,,
ConcordiaGuest,00:22:55:74:F7:83,None,,
ConcordiaUniversity,00:22:55:74:F7:E0,WPA+AES-CCM WPA+TKIP,,
None,00:22:55:74:F7:E1,WEP,,
eduroam,00:22:55:74:F7:E2,WPA+AES-CCM,,
ConcordiaGuest,00:22:55:74:F7:E3,None,,
None,00:22:55:DF:CF:B1,WEP,,
ConcordiaUniversity,00:22:55:DF:D1:40,WPA+AES-CCM WPA+TKIP,,
None,00:22:55:DF:D1:41,WEP,,
eduroam,00:22:55:DF:D1:42,WPA+AES-CCM,,
ConcordiaGuest,00:22:55:DF:D1:43,None,,
ConcordiaUniversity,00:22:55:DF:FA:D0,WPA+AES-CCM WPA+TKIP,,
None,00:22:55:DF:FA:D1,WEP,,
eduroam,00:22:55:DF:FA:D2,WPA+AES-CCM,,
ConcordiaGuest,00:22:55:DF:FA:D3,None,,
ConcordiaUniversity,00:22:55:E0:1A:80,WPA+AES-CCM WPA+TKIP,,
None,00:22:55:E0:1A:81,WEP,,
eduroam,00:22:55:E0:1A:82,WPA+AES-CCM,,
ConcordiaGuest,00:22:55:E0:1A:83,None,,
ConcordiaUniversity,00:22:55:E0:9C:D0,WPA+AES-CCM WPA+TKIP,-169.252418,-73.577274
None,00:22:55:E0:9C:D1,WEP,45.495937,-73.577370
ConcordiaGuest,00:22:55:E0:9C:D3,None,45.495937,-73.577370
ConcordiaGuest,00:22:55:E0:B1:02,None,45.496426,-73.577568
linksys,00:22:6B:5C:96:1F,WPA+PSK WPA+TKIP,-169.248025,-145.157282
Philippe,00:22:6B:5C:BA:AF,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.200860,-159.433523
tigerofsweden,00:22:6B:8A:2A:24,WPA+AES-CCM WPA+PSK,-178.584911,-166.943348
ConcordiaUniversity,00:22:90:39:6C:80,WPA+AES-CCM WPA+TKIP,-169.251592,-73.577492
None,00:22:90:39:6C:81,WEP,,
eduroam,00:22:90:39:6C:82,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:39:6C:83,None,,
ConcordiaUniversity,00:22:90:39:CB:00,WPA+AES-CCM WPA+TKIP,-157.949966,-163.997817
None,00:22:90:39:CB:01,WEP,-169.252548,-145.160239
eduroam,00:22:90:39:CB:02,WPA+AES-CCM,-126.302826,-159.476797
ConcordiaGuest,00:22:90:39:CB:03,None,-97.669710,-73.577466
ConcordiaUniversity,00:22:90:5D:E5:D0,WPA+AES-CCM WPA+TKIP,,
None,00:22:90:5D:E5:D1,WEP,,
eduroam,00:22:90:5D:E5:D2,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:5D:E5:D3,None,,
ConcordiaUniversity,00:22:90:5D:E7:10,WPA+AES-CCM WPA+TKIP,-169.250832,-169.019267
eduroam,00:22:90:5D:E7:12,WPA+AES-CCM,45.497742,-73.575111
ConcordiaGuest,00:22:90:5D:E7:13,None,45.497742,-73.575111
ConcordiaUniversity,00:22:90:5D:E9:40,WPA+AES-CCM WPA+TKIP,,
None,00:22:90:5D:E9:41,WEP,,
eduroam,00:22:90:5D:E9:42,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:5D:E9:43,None,,
None,00:22:90:5D:E9:B1,WEP,,
eduroam,00:22:90:5D:E9:B2,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:5D:E9:B3,None,,
ConcordiaGuest,00:22:90:5D:E9:E3,None,45.495838,-73.577484
ConcordiaUniversity,00:22:90:5D:EB:A0,WPA+AES-CCM WPA+TKIP,,
None,00:22:90:5D:EB:A1,WEP,,
eduroam,00:22:90:5D:EB:A2,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:5D:EB:A3,None,,
ConcordiaUniversity,00:22:90:5E:35:80,WPA+AES-CCM WPA+TKIP,,
None,00:22:90:5E:35:81,WEP,,
eduroam,00:22:90:5E:35:82,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:5E:35:83,None,,
ConcordiaUniversity,00:22:90:5E:37:00,WPA+AES-CCM WPA+TKIP,,
None,00:22:90:5E:37:01,WEP,,
ConcordiaGuest,00:22:90:5E:37:03,None,,
ConcordiaUniversity,00:22:90:A1:34:90,WPA+AES-CCM WPA+TKIP,,
None,00:22:90:A1:34:91,WEP,,
eduroam,00:22:90:A1:34:92,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:A1:34:93,None,,
ConcordiaUniversity,00:22:90:A1:36:20,WPA+AES-CCM WPA+TKIP,,
None,00:22:90:A1:36:21,WEP,,
eduroam,00:22:90:A1:36:22,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:A1:36:23,None,,
None,00:22:90:A1:36:52,WEP,,
eduroam,00:22:90:A1:36:53,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:A1:36:54,None,,
ConcordiaUniversity,00:22:90:A1:36:80,WPA+AES-CCM WPA+TKIP,,
None,00:22:90:A1:36:81,WEP,,
ConcordiaGuest,00:22:90:A1:36:83,None,,
ConcordiaUniversity,00:22:90:A1:37:20,WPA+AES-CCM WPA+TKIP,,
None,00:22:90:A1:37:21,WEP,,
eduroam,00:22:90:A1:37:22,WPA+AES-CCM,,
ConcordiaGuest,00:22:90:A1:37:23,None,,
CAYA,00:22:A4:51:AE:61,WPA+PSK WPA+TKIP,-169.139616,-165.576795
tzoutzouk,00:22:B0:D4:F9:50,WEP,-138.466866,-134.895510
GOLDEN PHRNIX,00:23:51:70:F2:D1,WPA+PSK WPA+TKIP,-179.634548,-179.685450
None,00:23:68:4F:D7:18,WPA+PSK WPA+TKIP,45.495811,-73.577484
None,00:23:68:4F:D7:1A,WPA+AES-CCM WPA+PSK,-169.252485,-73.577442
None,00:23:68:8D:E9:00,WPA+PSK WPA+TKIP,-126.300566,-159.474253
wififofumipod,00:23:68:8D:E9:01,WPA+PSK WPA+PSK WPA+TKIP WPA+TKIP,-156.618077,-174.633014
BELLWIFI@MCDONALDS,00:23:68:8F:51:F0,None,-169.252409,-159.476516
dd-wrt,00:23:69:5C:0F:FF,WPA+AES-CCM WPA+PSK WPA+TKIP,-177.204398,-169.019085
R-SA3,00:23:69:5D:82:49,WEP,45.496616,-73.576530
2 girls 1 router,00:23:69:8A:EB:59,WPA+AES-CCM WPA+PSK,45.601566,-73.532074
Arpanetosaurus,00:23:69:C2:3C:56,WPA+AES-CCM WPA+PSK WPA+TKIP,-175.276761,-171.709137
Linksys_Val-David,00:23:69:E5:1A:36,WEP,-97.566229,-73.533307
SmartRG027c,00:23:6A:40:4B:7D,WPA+AES-CCM WPA+PSK WPA+TKIP,-97.563598,-73.535522
Primus-884b,00:23:6A:47:88:4D,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.138334,-127.231766
ElectronicBoxcjj1,00:23:6A:5B:D0:42,WPA+AES-CCM WPA+PSK WPA+TKIP,,
HungryCat,00:23:6A:6F:FE:DB,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.150032,-73.533894
SmartRG99fb,00:23:6A:72:99:FD,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.148812,-168.976917
ElectronicBoxcf146,00:23:6A:72:9A:1E,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.140497,-73.539753
SmartRG499a,00:23:6A:74:49:9C,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.144952,-173.774041
AEI56654,00:23:6A:74:F1:25,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.142708,-145.116442
ElectronicBoxbk134,00:23:6A:75:86:60,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.149633,-145.116462
ElectronicBoxwf13,00:23:6A:75:C1:75,WPA+AES-CCM WPA+PSK WPA+TKIP,-177.741080,-176.613770
SmartRGfe14,00:23:6A:75:FE:16,WPA+AES-CCM WPA+PSK WPA+TKIP,-179.217559,-179.925092
SmartRG027c,00:23:6A:78:4E:E2,WPA+AES-CCM WPA+PSK WPA+TKIP,-175.286753,-171.705212
Distributel2410,00:23:6A:78:7E:CB,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.195700,-159.430657
TransatTelecom680,00:23:6A:7E:83:E9,WPA+AES-CCM WPA+PSK WPA+TKIP,45.605465,-73.557747
SmartRG8063,00:23:6A:7F:80:65,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.195920,-159.430776
SmartRGDA5D,00:23:6A:7F:DA:5F,WPA+AES-CCM WPA+PSK WPA+TKIP,-174.382566,-178.314294
SMARTRG123,00:23:6A:7F:F6:DC,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.142728,-73.558571
Distributel7234,00:23:6A:81:54:53,WPA+AES-CCM WPA+PSK WPA+TKIP,45.605732,-73.533890
EBOX_MJ399,00:23:6A:D2:06:5B,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.138776,-145.126535
Tapage1525,00:23:6A:EB:2F:85,WPA+AES-CCM WPA+PSK WPA+TKIP,-179.770889,-179.728725
eMVy,00:23:6A:ED:37:5B,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.138814,-73.543672
Teksavvy8324,00:23:6A:F0:84:35,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.145593,-145.114217
Acanac_02625,00:23:6A:F4:4B:E8,WPA+AES-CCM WPA+PSK,45.607185,-73.538200
gagnet19,00:23:CD:C7:53:4E,WPA+AES-CCM WPA+PSK WPA+TKIP,-178.051542,-178.458318
henry,00:24:01:38:26:EC,WPA+PSK WPA+TKIP,-169.139724,-145.124316
C-ANOUS-COURS-ARRIERE,00:24:01:73:AD:5D,WPA+AES-CCM WPA+PSK WPA+TKIP,-138.460147,-134.900988
dlink,00:24:01:74:69:E9,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.138252,-127.231957
dlink,00:24:01:75:02:B3,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.194932,-159.458121
OGILVY4,00:24:01:CE:62:4F,WPA+AES-CCM WPA+PSK WPA+TKIP,-179.987646,-177.369915
hebert,00:24:01:CE:ED:E1,WPA+PSK WPA+TKIP,-149.625534,-151.623110
dlink-net-77,00:24:01:CE:FF:71,WPA+PSK WPA+TKIP,-145.281779,-168.977371
Desjardins,00:24:01:DB:F4:6D,WPA+AES-CCM WPA+PSK WPA+TKIP,-97.560807,-73.530785
danny,00:24:01:DB:FA:57,WPA+AES-CCM WPA+PSK WPA+TKIP,-138.460453,-134.900391
GPPC_Net,00:24:01:F3:11:60,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.141223,-165.573119
machin,00:24:01:F6:92:94,WPA+AES-CCM WPA+PSK,-169.142900,-73.557205
ThomsonB0391D,00:24:17:0A:33:6E,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.149868,-154.064450
UnitelecomF5C,00:24:17:0D:5F:EA,WPA+AES-CCM WPA+PSK WPA+TKIP,-126.199429,-159.432708
BravoTelecom_8261,00:24:17:0D:5F:F3,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.144798,-127.245948
UnitelecomLB65,00:24:17:25:47:FF,WPA+AES-CCM WPA+PSK WPA+TKIP,45.603569,-73.558990
ThomsonE0265E,00:24:17:3E:DB:C1,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.143936,-154.089306
BravoTelecom_2692,00:24:17:6A:02:EA,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.145036,-73.539200
Unitelecom667A,00:24:17:C5:66:65,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.142103,-73.535730
Bravotelecom-Baakili,00:24:17:FF:2C:4C,WPA+PSK WPA+TKIP,45.604687,-73.558723
NETWORK,00:24:56:93:B2:89,WPA+AES-CCM WPA+PSK WPA+TKIP,-149.618929,-151.627722
ConcordiaUniversity,00:24:97:F2:88:10,WPA+AES-CCM WPA+TKIP,,
ConcordiaUniversity,00:24:97:F2:8D:60,WPA+AES-CCM WPA+TKIP,-169.252447,-173.793327
None,00:24:97:F2:8D:61,WEP,-169.252446,-145.160133
eduroam,00:24:97:F2:8D:62,WPA+AES-CCM,-169.252489,-127.264485
ConcordiaGuest,00:24:97:F2:8D:63,None,-126.302820,-159.476774
ConcordiaUniversity,00:24:97:F2:8D:C0,WPA+AES-CCM WPA+TKIP,,
None,00:24:97:F2:8D:C2,WEP,,
eduroam,00:24:97:F2:8D:C3,WPA+AES-CCM,,
ConcordiaGuest,00:24:97:F2:8D:C4,None,,
LQ005995w8FMm49Bpi5HGy62,00:24:A5:42:94:41,WPA+AES-CCM WPA+PSK,-169.151620,-145.117037
BELL887,00:25:3C:B0:63:F9,WEP,45.498219,-73.574791
RynerAleWifiEtPasToi2.4,00:25:9C:79:52:19,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.250581,-145.157870
brittany,00:25:9C:EB:93:F7,WPA+AES-CCM WPA+PSK WPA+TKIP,-138.463900,-134.891963
NeverLAN,00:25:9C:F1:AD:CB,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.150952,-159.433788
Prince,00:25:9C:F2:89:13,WPA+AES-CCM WPA+PSK WPA+TKIP,-97.557942,-73.539235
Forget,00:25:9C:FB:65:F9,WPA+PSK WPA+TKIP,-126.195344,-159.430471
Rlo,00:26:18:08:C7:4D,WPA+AES-CCM WPA+PSK,-179.880425,-178.759374
Unitelecom988E,00:26:44:52:76:37,WPA+AES-CCM WPA+PSK WPA+TKIP,-169.140104,-145.123392
ThomsonE41A86,00:26:44:DF:A7:91,WPA+AES-CCM WPA+PSK,-176.406304,-173.790397
BELL205,00:26:50:B4:AC:C1,WEP,45.497955,-73.575081
BELL925,00:26:50:E3:7D:99,WEP,-169.137334,-73.547081
11giraffes,00:26:51:AC:29:B0,WPA+PSK WPA+TKIP,-97.667937,-73.575534
BELL892,00:26:82:FA:D6:34,WPA+AES-CCM WPA+PSK,-169.151883,-159.434498
Home,00:26:82:FB:1E:A4,WEP,-97.562835,-73.537826
BELL695,00:26:82:FC:5E:74,WPA+AES-CCM WPA+PSK,-169.150304,-73.534065
BELL612,00:26:82:FC:72:24,WPA+AES-CCM WPA+PSK,-152.629377,-172.647598
BELL835,00:26:82:FC:F6:1C,WPA+AES-CCM WPA+PSK,45.596504,-73.535103
BELL519,00:26:82:FE:D7:2C,WPA+AES-CCM WPA+PSK,45.602680,-73.531479
None,00:27:0D:2E:FA:E0,WPA+AES-CCM WPA+PSK,-169.249708,-73.574226
MARQUES,00:27:19:CE:86:6C,WEP,-97.666551,-73.573748
None,00:30:44:1B:CE:87,WPA+AES-CCM WPA+PSK,45.496139,-73.577042
None,00:30:44:1B:CE:B7,WPA+AES-CCM WPA+PSK,,
rc1881,00:30:44:1E:34:29,WPA+AES-CCM WPA+PSK,-169.249571,-165.609181
CGF_Internet,00:35:1A:31:62:C0,WPA+AES-CCM WPA+PSK,45.605198,-73.558594
lebowski2,00:37:B7:E7:09:4E,WPA+AES-CCM WPA+PSK WPA+TKIP,-97.669389,-73.576960
BELL530,00:37:B7:E7:3B:9E,WPA+AES-CCM WPA+PSK,-169.151620,-154.064885
BELL436,00:37:B7:E7:C3:AE,WPA+AES-CCM WPA+PSK,,
BELL068,00:37:B7:E8:90:66,WPA+AES-CCM WPA+PSK,45.497600,-73.577614
BELL705,00:37:B7:E9:FF:36,WPA+AES-CCM WPA+PSK,-169.137445,-168.990495
Princess Sparkles,00:37:B7:EA:15:86,WPA+AES-CCM WPA+PSK,45.496376,-73.576859
BELL108,00:37:B7:EC:6A:5E,WPA+AES-CCM WPA+PSK,-179.098868,-179.963592
BELL336,00:37:B7:EC:6B:A6,WPA+AES-CCM WPA+PSK,-169.251551,-174.634432
